230907 15:20:42:139 [INFO] (PlanarRegionMappingHandler.java:290): [142] Statistics: Extraction Time: 0.027, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.034, Area: 2.226, Regions: 8, Vertices: 782
230907 15:20:42:269 [INFO] (PlanarRegionMappingHandler.java:290): [143] Statistics: Extraction Time: 0.024, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.028, Area: 2.254, Regions: 8, Vertices: 792
230907 15:20:42:393 [INFO] (PlanarRegionMappingHandler.java:290): [144] Statistics: Extraction Time: 0.018, Merging Time: 0.003, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.023, Area: 2.287, Regions: 8, Vertices: 806
230907 15:20:42:512 [INFO] (PlanarRegionMappingHandler.java:290): [145] Statistics: Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 2.315, Regions: 8, Vertices: 830
230907 15:20:42:758 [INFO] (PlanarRegionMappingHandler.java:290): [147] Statistics: Extraction Time: 0.016, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.024, Area: 2.124, Regions: 7, Vertices: 779
230907 15:20:43:011 [INFO] (PlanarRegionMappingHandler.java:290): [149] Statistics: Extraction Time: 0.023, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.035, Area: 2.130, Regions: 7, Vertices: 781
230907 15:20:43:139 [INFO] (PlanarRegionMappingHandler.java:290): [150] Statistics: Extraction Time: 0.014, Merging Time: 0.011, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.027, Area: 2.133, Regions: 7, Vertices: 775
230907 15:20:43:259 [INFO] (PlanarRegionMappingHandler.java:290): [151] Statistics: Extraction Time: 0.009, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.018, Area: 2.134, Regions: 7, Vertices: 780
230907 15:20:43:494 [INFO] (PlanarRegionMappingHandler.java:290): [153] Statistics: Extraction Time: 0.016, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.022, Area: 2.138, Regions: 7, Vertices: 790
230907 15:20:43:622 [INFO] (PlanarRegionMappingHandler.java:290): [154] Statistics: Extraction Time: 0.016, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.027, Area: 2.144, Regions: 7, Vertices: 787
230907 15:20:43:743 [INFO] (PlanarRegionMappingHandler.java:290): [155] Statistics: Extraction Time: 0.013, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.146, Regions: 7, Vertices: 789
230907 15:20:43:863 [INFO] (PlanarRegionMappingHandler.java:290): [156] Statistics: Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 2.162, Regions: 7, Vertices: 789
230907 15:20:43:991 [INFO] (PlanarRegionMappingHandler.java:290): [157] Statistics: Extraction Time: 0.019, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.026, Area: 2.163, Regions: 7, Vertices: 791
230907 15:20:44:119 [INFO] (PlanarRegionMappingHandler.java:290): [158] Statistics: Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.006, Total Time: 0.027, Area: 2.169, Regions: 7, Vertices: 781
