Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 1.473, Regions: 6, Vertices: 710
Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 1.530, Regions: 7, Vertices: 738
Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.023, Area: 1.568, Regions: 7, Vertices: 770
Extraction Time: 0.013, Merging Time: 0.009, Registration Time: 0.001, Optimization Time: 0.003, Total Time: 0.026, Area: 1.603, Regions: 7, Vertices: 791
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.002, Total Time: 0.021, Area: 1.631, Regions: 7, Vertices: 804
Extraction Time: 0.017, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.026, Area: 1.656, Regions: 7, Vertices: 803
Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 1.727, Regions: 8, Vertices: 858
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.003, Optimization Time: 0.002, Total Time: 0.024, Area: 1.765, Regions: 8, Vertices: 880
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.002, Total Time: 0.023, Area: 1.794, Regions: 7, Vertices: 879
Extraction Time: 0.015, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.024, Area: 1.812, Regions: 7, Vertices: 868
Extraction Time: 0.014, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.022, Area: 1.825, Regions: 7, Vertices: 882
Extraction Time: 0.018, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.024, Area: 1.849, Regions: 7, Vertices: 896
Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.007, Total Time: 0.024, Area: 1.856, Regions: 7, Vertices: 882
Extraction Time: 0.015, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.007, Total Time: 0.027, Area: 1.856, Regions: 7, Vertices: 882
Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.010, Total Time: 0.028, Area: 1.906, Regions: 7, Vertices: 854
Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.010, Total Time: 0.028, Area: 1.906, Regions: 7, Vertices: 854
Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.007, Total Time: 0.025, Area: 1.925, Regions: 7, Vertices: 852
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.007, Total Time: 0.026, Area: 1.925, Regions: 7, Vertices: 852
Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 1.948, Regions: 7, Vertices: 870
Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 1.948, Regions: 7, Vertices: 870
Extraction Time: 0.011, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.017, Area: 2.004, Regions: 8, Vertices: 900
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.019, Area: 2.004, Regions: 8, Vertices: 900
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.018, Regions: 8, Vertices: 904
Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.022, Area: 2.018, Regions: 8, Vertices: 904
Extraction Time: 0.014, Merging Time: 0.008, Registration Time: 0.001, Optimization Time: 0.005, Total Time: 0.028, Area: 2.034, Regions: 8, Vertices: 908
Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.019, Area: 2.040, Regions: 8, Vertices: 913
Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.008, Total Time: 0.025, Area: 2.044, Regions: 8, Vertices: 918
Extraction Time: 0.017, Merging Time: 0.005, Registration Time: 0.001, Optimization Time: 0.001, Total Time: 0.024, Area: 2.051, Regions: 8, Vertices: 918
Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.021, Area: 2.056, Regions: 8, Vertices: 935
Extraction Time: 0.013, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.005, Total Time: 0.023, Area: 2.062, Regions: 8, Vertices: 949
Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.064, Regions: 8, Vertices: 945
Extraction Time: 0.017, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.004, Total Time: 0.027, Area: 2.070, Regions: 8, Vertices: 953
Extraction Time: 0.010, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.018, Area: 2.077, Regions: 8, Vertices: 953
Extraction Time: 0.013, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.021, Area: 2.080, Regions: 8, Vertices: 956
Extraction Time: 0.009, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.013, Area: 2.083, Regions: 8, Vertices: 965
Extraction Time: 0.014, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.083, Regions: 8, Vertices: 971
Extraction Time: 0.011, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.016, Area: 2.084, Regions: 8, Vertices: 975
Extraction Time: 0.012, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.016, Area: 2.087, Regions: 8, Vertices: 965
Extraction Time: 0.009, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.014, Area: 2.129, Regions: 9, Vertices: 990
Extraction Time: 0.013, Merging Time: 0.007, Registration Time: 0.000, Optimization Time: 0.002, Total Time: 0.022, Area: 2.133, Regions: 9, Vertices: 986
Extraction Time: 0.011, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.019, Area: 2.137, Regions: 9, Vertices: 993
Extraction Time: 0.011, Merging Time: 0.006, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.020, Area: 2.141, Regions: 9, Vertices: 1004
Extraction Time: 0.012, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 2.145, Regions: 9, Vertices: 1016
