pdd_x_world,pdd_y_world,pdd_z_world
0.057434335,0.02644269,0.012671039
0.008044883,-0.026940294,-0.001016698
-0.07031776,1.39E-04,0.008923848
-0.07031776,1.39E-04,0.008923848
-3.43E-04,0.011894259,0.037367705
-0.018742323,-0.025325853,0.032573733
-0.021810826,0.058788899,-0.062331319
-0.021810826,0.058788899,-0.062331319
0.047860753,-0.02996305,-0.013138942
-0.017636646,-0.051716357,0.038195703
-0.017525772,-0.001252425,0.007229792
-0.017525772,-0.001252425,0.007229792
-0.016383706,-0.03415525,-0.020739341
-0.058106598,-0.021316743,0.029973993
0.04225434,0.011607812,-0.001927251
0.04225434,0.011607812,-0.001927251
0.054590944,-0.023327973,0.001523835
-0.031281546,-0.058987439,0.047433686
-0.038607121,0.011927834,0.046847519
-0.038607121,0.011927834,0.046847519
0.008881713,0.008715438,-0.031619161
-0.028246999,-0.012539455,0.01136341
0.018397741,-0.015763367,0.020225525
0.018397741,-0.015763367,0.020225525
0.010746201,-0.047747608,-0.003082244
-0.042678677,0.021340091,-0.020859068
0.025547292,0.031858977,0.050267085
0.025547292,0.031858977,0.050267085
-0.025428878,0.005632124,0.032152314
-0.030140685,0.02421866,-0.060061995
0.051460914,-0.070926115,-0.006001207
0.051460914,-0.070926115,-0.006001207
0.028573614,-0.051754955,0.04580535
-0.004839533,0.029975737,-0.014917881
0.002375834,-0.006638743,0.018266436
0.002375834,-0.006638743,0.018266436
-0.041203119,0.006809827,0.028026288
0.02532036,0.001730005,-6.56E-04
0.024178417,-0.022492757,-0.004463108
0.024178417,-0.022492757,-0.004463108
-0.01601187,-0.028443063,-0.007710353
-0.021927292,-0.02804736,0.065679625
-0.009125481,-0.005816753,-0.007038419
-0.009125481,-0.005816753,-0.007038419
-0.046321239,0.020542197,-0.005829039
0.020443086,-0.044077605,0.025875866
-0.012771607,-0.050056383,-0.003762905
-0.012771607,-0.050056383,-0.003762905
-0.029726051,0.007146316,0.005881152
-0.033460606,0.003555756,0.004048945
-0.038572576,-0.00725746,0.022031838
-0.038572576,-0.00725746,0.022031838
0.013212711,0.03954434,-0.033462264
0.022801029,-0.04153366,-0.007376875
0.001158674,-0.044859622,0.063322961
0.001158674,-0.044859622,0.063322961
-0.056720868,0.039388161,-0.029637963
-0.022013647,-0.003205504,-0.021398589
-0.050813556,0.02475974,0.036867756
-0.050813556,0.02475974,0.036867756
0.0288326,0.0032088,0.027809821
0.034200545,-0.040747698,-0.028136421
-0.048334908,-0.017560713,0.007874243
-0.048334908,-0.017560713,0.007874243
0.006070993,-0.005949797,0.052840702
-0.012379512,-0.023560656,-0.007194949
-0.031283718,0.021535616,0.007980476
-0.031283718,0.021535616,0.007980476
0.023077013,-0.056029435,0.023567677
-0.03135417,-0.076717913,0.003264745
-0.059950504,0.008224986,-0.018203998
-0.059950504,0.008224986,-0.018203998
-0.005618233,0.006657355,0.010261311
-0.010688162,0.010680547,0.042247292
-0.023551287,0.031603944,-0.009038609
-0.023551287,0.031603944,-0.009038609
0.035792951,-0.057123844,-0.016685933
0.006698528,-0.031141596,0.012582391
-0.051161833,0.015265039,0.003500642
-0.051161833,0.015265039,0.003500642
-0.02688304,0.007562392,-0.018578922
-0.069965415,0.048300795,-0.006272339
0.029318605,0.002784232,0.017107595
0.029318605,0.002784232,0.017107595
